serial_number,product_number,location type
PY4MHKCZDAPEOQHP,VTQ1DQ,Warehouse
GF55VX5UT1OOEXV3,VFC38T,Office
S12KUBWEG4IWY9UN,C4EU21,Office
VTQ1DQ1O9B4TSQDU,GF55VX,Office
VX8XMK8P0MZ5TQM6,CXAK45,Public
STPTVHPU4OFBGHVK,CF3FN4,Office
G1OR9QOM7IE3HK9G,CFLO55,Warehouse
PFPT05PAUO9XG50K,VMMDCE,Factory
2YMP1OM30DWH4A1W,VTQ1DQ,Office
C4U9TQ2YGKT5RQZT,S4YBKU,Public
GXRG7X4HB7RK1FUI,CF3TQU,Office
2UKT3UPX8O3AGBVK,PX6J5S,Office
VMPZ0RHUU6059QAV,VFTKT5,Factory
EFIU9TVBR9J5CQPF,SMBB8V,Office
SMBB8VTQQR89YJUN,2UW3NK,Other
0UIQU9DMC3U57Q24,EXOXBG,Office
PXF9DGMOJD2X45YW,S124EJ,Warehouse
S4YBKUP5IOKHGAVK,0U3HQ4,Factory
CYDXCZ9YYNC3AKJC,S1BJQN,Office
0FMAJU0HSJOQEXV3,24517U,Office
21G9LEMFFDLA4B1W,C4UKCX,Factory
ET054OZ1EF45SQDU,C4UKCX,Public
EXOHSPUBAS73MKT8,01V8P4,Factory
2T6FFUPQNOFBGHVK,GXAS0J,Office
011CVSATTLV5JQB0,STTFP4,Office
CF3FN4PA7O9XG50K,S4GHD3,Public
SYS6HVT55RNJYOUN,SU146O,Office
P4FUIJ2YGKT5RQZT,GUTMYA,Office
0X6N3EYJ9ZDQUX1L,214JB8,Office
SUEFRUPX8O3AGBVK,C4VJ14,Warehouse
EMA05DJ118G3BKOE,S4YBKU,Factory
VFC38TVBR9J5CQPF,0X6GIP,Office
2MU19EMKKD6B4H1W,21GK30,Factory
GUMBI9DMC3U57Q24,2UWUQF,Office
CXDUQ0TAHRSFY34N,CYAAWE,Factory
24517UP5IOKHGAVK,VFC38T,Office
PYGH3MB44WP5OQHP,245BH4,Office
GFLMIH0HSJOQEXV3,VMMPTP,Office
S19UA3TXXRIOY9UN,GUMBI9,Warehouse
VTWAIYZ1EF45SQDU,GXRG7X,Warehouse
VXXYFB19O2Z5TQM6,PFMUH9,Office
STTJMX9QNOFBAHVK,GXR7HK,Office
G1R8DUNMMIE3LK9G,C4UKCX,Factory
PFTJMA9A7O9XA50K,2144SW,Warehouse
2YPZCQ233DWHRA1W,PFPO4X,Office
C4E3BMFYGKT5QQZT,GFLA5T,Warehouse
GXAS0JRHB7RKZFUI,G1DS0P,Factory
2UNJM59X8O3AABVK,STCKO9,Office
VMTW7YLUU6058QAV,EMD2UI,Warehouse
EF5O1BJBR9J5BQPF,01UNJO,Warehouse
SM25PFSQQR89DJUN,CYOY2T,Office
0U51A1KMC3U55Q24,2MEAQ2,Public
PX83CA2OJD2XR5YW,EF5O1B,Warehouse
S405MQ95IOKHAAVK,PFTFPH,Office
CYOY2T8YYNC3WKJC,P464W4,Warehouse
0FPXYHO3SJOQHXV3,GXR7HK,Office
21Y3C52SFDLARB1W,S124EJ,Public
ET4MVY3KEF45XQDU,2T6FFU,Warehouse
EXRQJ976AS732KT8,PFCKFK,Warehouse
2TF4WX9JNOFBAHVK,214JB8,Office
01V7M1WNTLV5IQB0,2YTW2Z,Warehouse
CFI42K9K7O8XA50K,243H8F,Warehouse
SYB037SD5RAJDOUN,0U5BDY,Office
P48O03FKGKN5QQZT,EF5O1B,Office
0XFEALDI9ZKQ7X1L,PX83CA,Office
SU146O998OSAABVK,STPTVH,Office
EMD2UIIW18Q36KOE,PFPO4X,Office
VFMTZFJFR9I5BQPF,VMMDCE,Public
2MEAQ227KDJBRH1W,0U51A1,Office
GUP5P3KKC3N55Q24,VTKXF3,Office
CXOO9NSWHRXFD34N,SYS6HV,Public
24LALJ9OIORHAAVK,STPTVH,Warehouse
PYYQYL6N4WK5NQHP,GF55VX,Office
GF3HK3O3XJNQHXV3,GFLMIH,Office
S1SO7RS2DRBOD9UN,STCKO9,Office
VTKXF33K5FN5XQDU,2TXOHH,Warehouse
VX6BL6Z8N235SQM6,CFL3L9,Office
STCKO98JBO7BAHVK,EMAZLS,Public
G1AG8IMWLIQ3LK9G,2MUBS0,Warehouse
PFCKFK8K5O8XA50K,CXA4GF,Office
2YTW2ZFR7DOHRA1W,0UIYEX,Office
C41TF3EK5KN5QQZT,SY9LOL,Warehouse
GXDINIQL67QKZFUI,VMCV6L,Factory
2UQKJO89AOSAABVK,0ULAFA,Factory
VMCV6L4NI6K58QAV,ETYQWU,Office
EFLF3FIFQ9I5BQPF,STPOUA,Office
SM9MRMXZ2QH9DJUM,CYOY2T,Office
0ULAFACK5YN55Q2A,CYOH91,Warehouse
PXXT6TFNIKFXR5YT,PXXT6T,Factory
S44MGM8OHQRHAAVM,2T89GM,Office
CYRBAB1WLMQ3WKJB,VMP64X,Office
0FTYCYN3X5NQHXVY,0X6GIP,Warehouse
210T4TFSRK9ARB1T,245BH4,Office
ETGHSHGK51N5XQDH,VMTW7Y,Factory
EXA1Y156WX532KT1,C4U9TQ,Public
2T89GM8JBQ7BAHVM,S12KUB,Office
01UNJOTNI4K5IQBO,S44MGM,Factory
CF59EM8K5Q8XA50M,2UQKJO,Factory
SY22YMXDZQAJDOUM,2UWUQF,Warehouse
P4XFRBEK5MN5QQZB,GFLMIH,Warehouse
0X8RT4KI83KQ7X14,PFTFPH,Office
SUV9GM89AQSAAUVM,P48341,Factory
EMOLBHYWL1Q36ROH,VFC38T,Factory
VFPJG1IFQXI5BTP1,PX8UMJ,Warehouse
2M1X4TFMSKJBRV1T,EMAZLS,Factory
GUTMYACA5YN5592A,STCKO9,Office
CXRFZMXTLQXFDG4M,2YTW2Z,Factory
243XXM8MHQRHAUVM,CYDMMR,Office
PY01E9UBITK5NZH9,CYOH91,Warehouse
GFIQBYNYX5NQHUVY,2UW3NK,Office
S1BFWMXTDQBODEUM,CF59EM,Office
VTNYMUGH51N5XODH,C4V4EU,Public
VXF5R731NF35SPMU,GXO8BS,Factory
STMU5K1MBQ7BAUVM,S401PX,Office
G1DS0P2OLYQ3LS9A,G1DS0P,Office
PFMUH91M5Q8XA40M,01V8P4,Public
2YCV8IEM7KOHRV1T,PFMUH9,Office
C4VJ14HB5MN5QJZB,CYDMMR,Other
GXOC2DP465QKZEUY,S4YBKU,Factory
2UWUQF1MAQSAAUVM,ETYQWU,Office
VMMDCERHIUK58DAJ,PYGXID,Office
EF34WJY1QXI5BTP1,EMAZLS,Office
SMSHJWVT2QH9DEUM,2UKOIH,Factory
0U3XWTBA5YN5592A,GUMQ5J,Warehouse
PX6J5SEMIKFXR0YT,2TX3ZK,Office
S4GHD31MHQR4AUVM,CFL3L9,Office
CYA5K0Z9LMQRW7JB,PY05UV,Factory
0FCB6OMYX5NTHUVY,P48341,Factory
214JB8EMRK90RV1T,01UNJO,Public
ETYQWUAH51N9XODH,2YTW2Z,Warehouse
EXDAKZ0UWX5G2CT1,2T6T84,Office
2TX3ZK1MBQ74AUVM,S1BJQN,Warehouse
01EEQCSAI4KZI2BO,PFCKFK,Office
CFL3L91M5Q8UA40M,VTNYMU,Office
SY9LOLVTZQAGDEUM,PY05UV,Office
P464W4HB5MNOQJZB,GFIBS9,Other
0XX8XQCY83KP7V14,0FMAJU,Office
SUU3UH1MVQS4AUVM,0FPM0B,Office
EMRPRFDJO1QS6ROH,PX8UMJ,Warehouse
VFTKT5Y1PXI4BTP1,EXDMWQ,Warehouse
2MVYVAEM1KJ0RV1T,GXDINI,Office
GUCH9XBA2YNJ592A,EF3KQO,Office
CXA4GFVT4QXEDG4M,2YMDVB,Factory
24IYUB1MVQR4AUVM,P48341,Warehouse
PY4AZX7BHTKDNZH9,EFLF3F,Warehouse
GF51UQMYV5NTHUVY,GFLMIH,Office
S124EJVTUQBGDEUM,SUU3UH,Office
VTQBOXAHD1N9XODH,SUETA4,Factory
VX8MP5G1MF30SPMU,S1SO7R,Warehouse
STPOUAZMVQ74AUVM,VXF5R7,Public
G1OISFFO9YQ7LS9A,EXA1Y1,Office
PFPO4XZM0Q8UA40M,SUETA4,Office
2YMDVBHM1KO0RV1T,VTNQCT,Factory
C4UKCXLUZMNOQJTB,24IQVA,Warehouse
GXR7HK9RU5QCZE7Y,2UKOIH,Warehouse
2UKOIHZKVQS4AU3M,STM3I3,Warehouse
VMP64XQPAUK28D0J,SMSHJW,Office
EFI9S5DJPXI4BT91,GF51UQ,Warehouse
SMBQXOJIUQHGDE8M,STM3I3,Warehouse
0UIYEX642YNJ59UA,01EINK,Factory
PXFKOXH2YKFVR0DT,G1R8DU,Warehouse
S4YQN4ZFVQY4AUKM,S1SO7R,Factory
CYDMMR3EJMDRW7CB,SUETA4,Office
0FM57T2OV5MTHUJY,CF3TQU,Office
21GK30HW1KG0RVLT,GF51UQ,Factory
ET01G9WTD1B9XO4H,SUUOVB,Warehouse
EXOXBGO7TX0G2CS1,VFMTZF,Public
2T6T84Z3VTY4AUFM,PY05UV,Office
011RUZX0BR7ZI2VO,SU146O,Office
CF3TQUZ90T1UA4OM,GFLA5T,Office
SYSPZGJ8UP0GDENM,SUU3UH,Office
P4F95OLUZ9AOQJTB,VMMDCE,Factory
0X6GIPBD1GCP7VZ4,2T6FFU,Office
SUETA4ZKVTY4AU3M,SMBB8V,Warehouse
EMAZLSKCOZ2S6RGH,GXO8BS,Office
VFCUX4DJPUY4BT91,GF51UQ,Warehouse
2MUBS0HL1CG0RV6T,EF3KQO,Factory
GUMQ5J642OHJ59UA,SUU3UH,Public
CXD9WEJS4PVEDGRM,214JB8,Office
245BH4ZFVTY4AUKM,2MUBS0,Office
PYGXID5VHSRDNZP9,VTKXF3,Office
GFLA5T2OV4MTHUJY,S1BFWM,Office
S199DGJNUP0GDEIM,GUTXG4,Office
VTW559WTDJB9XO4H,CXA4GF,Factory
VXXH80AZMEG0SP2U,2TXOHH,Office
STTFP433VTY4WUFM,01EINK,Warehouse
G1RCOYEG9DZ74SEA,P46KQQ,Public
PFTFPH390T1UW4OM,VXXYFB,Warehouse
2YP6MFL61CG0QVWT,ETGHSH,Office
C4EU214UZ9AOPJTB,24IYUB,Factory
GXAN4B8RU0PC3E7Y,2YMDVB,Warehouse
2UNFPQ3KVTY4WU3M,VMT0HT,Factory
VMT0HTPPA7S21D0J,214JB8,Warehouse
EF53VAKJPUY46T91,VXXYFB,Factory
SM21T5IIUP0GKE8M,CYA5K0,Office
0U5BDYU42OHJ09UA,EFLF3F,Factory
PX8UMJL2YCEVQ0DT,2UNFPQ,Office
S401PX3FVTY4WUKM,01EINK,Warehouse
CYOH91GEJ2DRT7CB,PX8UMJ,Office
0FPM0BFOV4MTLUJY,VMTW7Y,Factory
21YUMKLW1CG0QVLT,243XXM,Office
ET4AUMTTTJB9VO4H,S19UA3,Public
EXRY7AN5SV0GFCS1,011RUZ,Warehouse
2TFJK53B3TY4WUFM,CYOH91,Office
01V8P4V30R7ZY2VO,2T89GM,Warehouse
CFIJ9H3XOT1UW4OM,GFLA5T,Office
SYBZIXIH8P0GKENM,SYSPZG,Warehouse
P4834145U9AOPJTB,GXDINI,Office
0XFSD96KZGCP5VZ4,PYGH3M,Warehouse
SU1JFQ3AKTY4WU3M,G1DEYG,Office
EMDWEMC5CZ2SURGH,CFL3L9,Office
VFMOJKK59UY46T91,GFLA5T,Factory
2ME5W7L9LCG0QV6T,2UWUQF,Office
GUP1TKU54OHJ09UA,2MUBS0,Office
CXO3SLIXRPVEKGRM,ET4MVY,Office
24L53O3HFTY4WUKM,PXFKOX,Office
PYYY0N03VSRDMZP9,GUCY2Q,Warehouse
GF3XNFFQJ4MTLUJY,CYOH91,Warehouse
S1S3H2IANP0GKEIM,PXXT6T,Factory
VTKM8KT5TJB9VO4H,EXOXBG,Warehouse
VX6Q3NW32EG0XP2U,S1BFWM,Factory
STC4RJGB3TY4WUFM,G1OR9Q,Warehouse
G1A7XWH5GDZ74SEA,P4F95O,Factory
PFC483GXOT1UW4OM,STTJMX,Office
2YT09R4J6CG0QVWT,G1RCOY,Warehouse
C41O8KR5U9AOPJTB,VXXYFB,Warehouse
GXDEQ61Q70PC3E7Y,ETYQWU,Office
2UQ479GAKTY4WU3M,GXR7HK,Office
VMC2FN93P7S21D0J,G1DEYG,Office
EFLTIKC59UY46T91,S401PX,Warehouse
SM9AAZYBIP0GKE8M,SU146O,Office
0UL58K754OHJ09UA,GF55VX,Factory
PXXOFI4FDCEVQ0DT,GF55VX,Warehouse
S44AYOGHFTY4WUKM,0FTYCY,Factory
CYRQDWA5E2DRT7CB,GUMBI9,Factory
0FTHMFEQJ4MTLUJY,01V8P4,Warehouse
210OG14OWCG0QVLT,PXF9DG,Warehouse
ETGXBAS5TJB9VO4H,EF3KQO,Office
EXAB0TM5SV0GFCS1,2MU19E,Office
2T8KY1GB3TY4WUFM,0X6GIP,Factory
01UG7BJ30R7ZY2VO,PFTJMA,Warehouse
CF5K1YGXOT1UW4OM,SY22YM,Warehouse
SY2W0UYH8P0GKENM,EXOXBG,Factory
P4XTAHR5U9AOPJTB,CXRJH7,Warehouse
0X8IC1UKZGCP5VZ4,GFIBS9,Public
SUVKY1GAKTY4WU3M,P48O03,Office
EMOV2OB5CZ2YURGH,2MEAQ2,Factory
VFPFYMC59UYA6T91,EF5O1B,Warehouse
2M1MG149LBGFQV6T,GXAS0J,Warehouse
GUTA0B754QH109UA,VX6BL6,Office
CXRTJ4YXR9VHKGRM,2UKT3U,Warehouse
243M61G4FBYQWUKM,VTW559,Public
PY0B1HORVXRTMZP9,S4GHD3,Office
GFIY21ETJAMBLUJY,0FPM0B,Other
S1BTKUY0N905KEIM,GUTXG4,Office
VTNHPAS9T5BYVO4H,SY22YM,Office
VXF1AMTG2HGOXP2U,S124EJ,Office
STM9L1A43BYXWUFM,S4YQN4,Factory
G1DN49LZGKZ14SEA,0XFEAL,Public
PFM9ZYAUOB1HW4OM,2YMDVB,Factory
2YC2X1RG6BGKQVWT,GUP5P3,Office
C4VFVTQOUX0MPJTB,01V7M1,Warehouse
GXOR97ZP7O9B3E7Y,SU146O,Office
2UW9W3A4KB65WU3M,EFI9S5,Warehouse
VMMLM08SP5141D0J,VMT0HT,Factory
EF3JK9B48HDA6T91,SMSHJW,Office
SMSX78D0A9KXKE8M,0U51A1,Factory
0U3MKU5J8QP109UA,PYGH3M,Factory
PX6FLDREKBHJQ0DT,2UQKJO,Warehouse
S4GXOKA4SBLQWUKM,VX8XMK,Office
CYA1NCWDXF4MTMCB,ET054O,Office
0FCQFJHTIA2BLHJY,SY9DDA,Warehouse
214F2LRGJBX3Q3LT,CYA5K0,Office
ETYYK4X985VYVY4H,STTFP4,Office
EXD5NS20XJOAFBS1,CXRFZM,Office
2TXUJFA4RBWXWXFM,VX8MP5,Office
01ESWVI7FQMUYUVO,SUU3UH,Office
CFLU3OAUNBZHWAOM,VMMPTP,Public
SY9VRND0B93QKQNM,2MUBS0,Factory
P46JKTQO8X0MPMTB,SU146O,Office
0XXC6Z7C3AB95JZ4,GFLMIH,Factory
SUUUE3A47B65W53M,0FPXYH,Office
EMRDAG62X3UYUYGH,ET4MVY,Office
VFT4C9B48HDA6B91,CYA5K0,Office
2MVHU6RGOBQFQF6T,GXAN4B,Public
GUCXSU5J8QP101UA,2TXOHH,Office
CXAJYQDVQ9JHKARM,ET01G9,Office
24IHEHA4SBLQWQKM,S4YQN4,Public
PY45J3NRFXYTMTP9,VTQBOX,Warehouse
GF5BE5HTIA2BLHJY,CXRFZM,Warehouse
S12J1AD0H9F5K5IM,VTNYMU,Office
VTQQR5X985VYVY4H,P46KQQ,Factory
VX8ATFSGFHAOX92U,CYDMMR,Factory
STP3EBW4RBWXWXFM,2YTW2Z,Factory
G1OEB54ZXKT141EA,CYDMMR,Public
PFP3GQWUNBZHWAOM,G1RCOY,Warehouse
2YMLUJQG9B5KQKWT,SU1JFQ,Office
C4U4M5PO8X0MPMTB,0FMAJU,Office
GXR8Z53P5O9B3H7Y,C4VJ14,Warehouse
2UK35AW47B65W53M,SU146O,Office
VMPPG31YF514140J,2UNFPQ,Public
EFIKBX6A8HDA6B91,VFC38T,Office
SMBY6BKFA9KXKX8M,0FMAJU,Office
0UIH15018QP101UA,CYOY2T,Factory
PXF4RKQHKBHJQODT,2UKT3U,Office
S4YYQHWQSBLQWQKM,2YP6MF,Office
CYDAP5TTXF4MTMCB,24IQVA,Office
0FM1H5LBIA2BLHJY,PFTFPH,Public
21G4IOQ5JBX3Q3LT,VFC38T,Office
ET0BY5VY85VYVY4H,P4FUIJ,Office
EXOM2XFOXJOAFBS1,PYGH3M,Warehouse
2T6OXTWXRBWXWXF9,GUP5P3,Factory
011IERY1FQMUYUVN,SUETA4,Office
CF3OWTWHNBZHWAO9,CXA4GF,Office
SYSDJPKKB93QKQN2,2TXOHH,Office
P4FKL9PM8X0MPMTF,PY05UV,Office
0X675G5B3AB95JZR,24517U,Warehouse
SUEODTW57B65W539,GXAN4B,Warehouse
EMA63ZU4X3UYUYGL,STPTVH,Office
VFC96U6A8HDA6B9J,2UNFPQ,Other
2MUQBCQXOBQFQF6S,PX8UMJ,Office
GUMYLO018QP101UK,STMU5K,Factory
CXDKKPKJQ9JHKAR2,2T6FFU,Office
245QZTWQSBLQWQK9,PFTJMA,Factory
PYGM5SMMFXYTMTP8,VX8MP5,Warehouse
GFL5L4LBIA2BLHJO,01V8P4,Office
S19KOPK3H9F5K5I2,SY9LOL,Office
VTW1LJVY85VYVY43,CYAAWE,Warehouse
VXXXXEXAFHAOX927,2YTW2Z,Warehouse
STTTTTTXMFWXTXF9,0FCB6O,Warehouse
G1RRRDRUDCT1R1EW,VMMPTP,Office
PFTTTTTHMFZHTAO9,STTFP4,Office
2YPPPCPQC65KPKWS,0UIYEX,Office
C4E9999MBU0M9MTF,2T6T84,Warehouse
GXAGG0G90N9BGH7D,EF5O1B,Factory
2UNTTTT5MF65T539,G1RCOY,Public
VMTZZ1ZY7014Z40I,CF3FN4,Warehouse
EF5UUHUA13DAUB9J,SY22YM,Factory
SM2BCKCFP8KXCX82,SMSHJW,Office
0U5QOMO1ATP1O1UK,VTNYMU,Public
PX89PBPHC6HJPODS,PX6J5S,Factory
S40BT5TQMFLQTQK9,P48341,Office
CYOXS4ST2E4MSMC6,GXAN4B,Office
0FPA4A4BYK2B4HJO,EXOXBG,Warehouse
21Y9PXP5C6X3P3LS,SY9LOL,Office
ET45E1JYH4VYJY43,214JB8,Office
EXRHHJEOVIOAEBSZ,PFPO4X,Office
2TFFNQTXMFWXTXF9,243H8F,Office
01VCTMD1RPMUDUVN,SY9LOL,Office
CFIFSBT3MFZHTAN9,VTWAIY,Warehouse
SYB653CSP83QCQH2,P48341,Office
P48UGY9FBU0M9MIF,0FPXYH,Office
0XFNOA06GWB90J3R,GFIBS9,Office
SU1F8XTJMF65T5R9,EMAZLS,Warehouse
EMD01U78ZGUY7Y5L,STTJMX,Warehouse
VFM37HUK13DAUB8J,SUETA4,Warehouse
2ME1KQPDC6QFPF9S,GXR7HK,Office
GUPBCMOFATP1O1IK,PXFKOX,Office
CXOUB9CIP8JHCAQ2,VMCV6L,Office
24L1I5T9MFLQTQ79,214JB8,Factory
PYYH4Y26SVYT2T38,2UNJM5,Warehouse
GF3MQK4FYKFB4HIO,PYYQYL,Public
S1SUZ7C7P8R5C5A2,2M1X4T,Warehouse
VTKAXFJFH43YJYI3,2YP6MF,Factory
VX6YILVWELWOV9F7,G1DS0P,Factory
STCJAOSOMF9XTXS9,PY4AZX,Office
G1A868Q8DCI1R15W,VMMDCE,Office
PFCJXFS3MF33TAN9,GXAN4B,Warehouse
2YTZS292C6ZSPKJS,ET01G9,Office
C413XF8FBU3F9MIF,0X6GIP,Office
GXDSWNA80N86GH5D,011CVS,Office
2UQJHJSJMFOJT5R9,CYAAWE,Factory
VMCW863670L8Z43I,S44MGM,Factory
EFLO537K13KKUB8J,CFLO55,Warehouse
SM95DRBRP8SDCXB2,EXOXBG,Office
0UL1XFNFAT3FO1IK,SMBQXO,Office
PXX3869LC6LIPOKS,S405MQ,Office
S44509S9MFJ9TQ79,GXR7HK,Office
CYRYO8X82EI6SM56,2MVYVA,Warehouse
0FTXPKRFYKFF4HIO,2UW3NK,Office
2103YZ9ZC6D7P3OS,PXFKOX,Office
ETGM2FIFH43FJYI3,S401PX,Office
EXAQ4IHNVINWEBXZ,CYOH91,Factory
2T840OSOMF9OTXS9,210T4T,Public
01U7H6K6RPL8DU3N,01EINK,Office
CF54VFS3MF33TAN9,GXAN4B,Office
SY204YBSP872CQH2,VMMDCE,Office
P4XODA8FBU3F9MIF,24517U,Office
0X8EMTO6GW680J3R,GUTXG4,Office
SUV40YSJMFOJT5R9,CF59EM,Office
EMO29B58ZGI67Y5L,G1R8DU,Office
VFPT0Y7K13KKUB8J,SYBZIX,Public
2M1AY49DC62RPF9S,2TX3ZK,Office
GUT54HNFVT3FO1IK,CYAAWE,Factory
CXRO71BI98ILCAQ2,21YUMK,Factory
243AFYS9WFJ9TQ79,0FM57T,Office
PY0QVOF6MVL82T38,G1RCOY,Office
GFIH9MRFDKFF4HIO,SY9DDA,Factory
S1BONYB138RZC5A2,SMSHJW,Office
VTNXTBIA043FJYI3,2YTW2Z,Warehouse
VXFBD4JTHLWNV9F7,VFTKT5,Office
STMK3YX16F9OTXS9,0FPXYH,Office
G1DGGHPBUCI6R15W,P4FUIJ,Factory
PFMKJ1XY2F33TAN9,0XX78F,Factory
2YCW648UQ6ZSPKJS,EXOXBG,Office
C4VTUA1HPU3F9MIF,2UNFPQ,Office
GXOISMW1ON86GH5D,VTQ1DQ,Warehouse
2UWKKYX1LFOJT5R9,STCKO9,Office
VMMVP9GOY0L8Z43I,2MVQ1J,Office
EF3FNY5MZ3KKUB8J,2UKOIH,Public
SMSMHY61F1SDCXB2,ETYQWU,Office
0U3AN4MBVB3FO1IK,C4U9TQ,Factory
PX6T3784BULIPOKS,0XFSD9,Factory
S4GMRFX1W1J9TQ79,2TX3ZK,Factory
CYABQVVHTHI6SM56,C4EU21,Factory
0FCY89Q1DMFF4HIO,VFC38T,Public
214T9N8U5UD7P3OS,GXO8BS,Warehouse
ETYHNTYA0A3FJYI3,2T89GM,Office
EXD1QDLMJYNWEBXZ,ET4MVY,Office
2TX973X1619OTXS9,VTNYMU,Office
01ENKGC919L8DU3N,2M1X4T,Factory
CFL9IJXY2133TAN9,S405MQ,Office
SY92A661K172CQH2,SUETA4,Office
P46FNU1HPH3F9MIF,2YP6MF,Factory
0XXRFSNUAT680J3R,S12KUB,Office
SUU91KX1L1OJT5R9,PFMUH9,Office
EMRLDP0A4AI67Y5L,VFTKT5,Public
VFTJMO5MZYKKUB8J,2T6T84,Factory
2MVXEI8UXU2RPF9S,01V8P4,Office
GUCMB4MBVB3FO1IK,ET01G9,Office
CXAF0Z6Y91ILCAQ2,VMTW7Y,Office
24IX1FX1W1J9TQ79,011CVS,Factory
PY417EEJMJL82T38,VX8XMK,Warehouse
GF5Q19Q1DMFF4HIO,C4UKCX,Warehouse
S12FVW6131RZC5A2,P4F95O,Factory
VTQYATYA0A3FJYI3,CXDUQ0,Factory
VX85CQITH4WNV9F7,C4VJ14,Office
STPU1HV1619OTXS9,2UQKJO,Factory
G1OS2K9BUBI6R15W,SYSPZG,Office
PFPUY5VY2133TKN9,GUMQ5J,Office
2YMVEA1UQUZSP7JS,VXXYFB,Office
C4UJPQZHPH3F93IF,G1DS0P,Warehouse
GXRCJFT1OM86GL5D,C4E3BM,Office
2UKULBV1L1OJTOR9,VFTKT5,Office
VMPDYQAOYOL8ZI3I,GUCY2Q,Office
EFI42Q0MZYKKUF8J,011CVS,Warehouse
SMBHFJU1F1SDC2B2,CYOH91,Office
0UIXVQ2TVB3FO3IK,PFCKFK,Public
PXFJA51RBULIPNKS,PX64IZ,Warehouse
S4YHWAV3W1J9TJ79,P48341,Warehouse
CYD5TKJ0THI6SL56,GUMBI9,Factory
0FMBZXPJDMFF43IO,PY01E9,Public
21GJ5B185UD7PROS,VTWAIY,Public
ET0Q0QDU0A3FJ3I3,PY01E9,Office
EXOA9K42JYNWE6XZ,SY9LOL,Warehouse
2T636HVK619OT9S9,SMSHJW,Office
011E1QBC19L8DI3N,P48341,Factory
CF33K5VOF133TKN9,VFTKT5,Warehouse
SYSL7OULR172CZH2,01EINK,Public
P4F43QZ4KH3F93IF,VMP64X,Public
0X68LXM7WT680I3R,C4EU21,Public
SUE3OUVF91EJTOR9,GXAN4B,Office
EMAPIROVNAA67L5L,SM21T5,Warehouse
VFCKFT093YCKUF8J,0FCB6O,Office
2MUY2V1NZUURPS9S,21Y3C5,Office
GUMH392TKBSFO3IK,S124EJ,Factory
CXD4NGUD81YLCWQ2,SYSPZG,Office
245YJUV3O1E9TJ79,S1SO7R,Office
PYGALZHGWJJ82I38,PY4AZX,Public
GFL13UPJKMEF43IO,2MU19E,Office
S194REU6S11ZCDA2,VX8MP5,Office
VTWB3ODUKARFJ3I3,GFLMIH,Office
VXXM6PYSL4TNV8F7,PX6J5S,Office
STTOCUJKJ1EOS9S9,STPTVH,Factory
G1RIAS8PNBB6QL5W,SM21T5,Office
PFTOC4JOF1G3SKN9,01V8P4,Office
2YPDTVZIDUUS97JS,VTW559,Factory
C4EKSJ34KH7F83IF,EF34WJ,Office
GXA7YESZNM16AL5D,VXXYFB,Office
2UNOCUJF91EJSOR9,2UNFPQ,Warehouse
VMT6JDWEWOO83I3I,GUMBI9,Office
EF59ETO93YCK7F8J,PFCKFK,Factory
SM2QME7W711DB2B2,VXXYFB,Factory
