date,usage,serial_number
2025-07-12,182,2M1H0YOV0YMI4H1W
2025-07-13,258,2M1H0YOV0YMI4H1W
2025-07-14,161,2M1H0YOV0YMI4H1W
2025-07-15,175,2M1H0YOV0YMI4H1W
2025-07-16,204,2M1H0YOV0YMI4H1W
2025-07-17,237,2M1H0YOV0YMI4H1W
2025-07-18,241,2M1H0YOV0YMI4H1W
2025-07-19,161,2M1H0YOV0YMI4H1W
2025-07-20,231,2M1H0YOV0YMI4H1W
2025-07-21,120,2M1H0YOV0YMI4H1W
2025-07-22,151,2M1H0YOV0YMI4H1W
2025-07-23,234,2M1H0YOV0YMI4H1W
2025-07-24,220,2M1H0YOV0YMI4H1W
2025-07-25,193,2M1H0YOV0YMI4H1W
2025-07-26,223,2M1H0YOV0YMI4H1W
2025-07-27,267,2M1H0YOV0YMI4H1W
2025-07-28,36,2M1H0YOV0YMI4H1W
2025-07-29,3,2M1H0YOV0YMI4H1W
2025-07-30,27,2M1H0YOV0YMI4H1W
2025-07-31,31,2M1H0YOV0YMI4H1W
2025-08-01,1,2M1H0YOV0YMI4H1W
2025-08-02,9,2M1H0YOV0YMI4H1W
2025-08-03,63,2M1H0YOV0YMI4H1W
2025-08-04,283,2M1H0YOV0YMI4H1W
2025-08-05,206,2M1H0YOV0YMI4H1W
2025-08-06,259,2M1H0YOV0YMI4H1W
2025-08-07,224,2M1H0YOV0YMI4H1W
2025-08-08,171,2M1H0YOV0YMI4H1W
2025-08-09,212,2M1H0YOV0YMI4H1W
2025-08-10,270,2M1H0YOV0YMI4H1W
2025-08-11,169,2M1H0YOV0YMI4H1W
2025-08-12,149,2M1H0YOV0YMI4H1W
2025-08-13,41,2M1H0YOV0YMI4H1W
2025-08-14,24,2M1H0YOV0YMI4H1W
2025-08-15,35,2M1H0YOV0YMI4H1W
2025-08-16,195,2M1H0YOV0YMI4H1W
2025-08-17,3,2M1H0YOV0YMI4H1W
2025-08-18,8,2M1H0YOV0YMI4H1W
2025-08-19,64,2M1H0YOV0YMI4H1W
2025-08-20,207,2M1H0YOV0YMI4H1W
2025-08-21,209,2M1H0YOV0YMI4H1W
2025-08-22,163,2M1H0YOV0YMI4H1W
2025-08-23,210,2M1H0YOV0YMI4H1W
2025-08-24,93,2M1H0YOV0YMI4H1W
2025-08-25,218,2M1H0YOV0YMI4H1W
2025-08-26,196,2M1H0YOV0YMI4H1W
2025-08-27,174,2M1H0YOV0YMI4H1W
2025-08-28,244,2M1H0YOV0YMI4H1W
2025-08-29,198,2M1H0YOV0YMI4H1W
2025-08-30,183,2M1H0YOV0YMI4H1W
2025-08-31,210,2M1H0YOV0YMI4H1W
2022-04-14,86,GUTXG4I9JHU47Q24
2022-04-15,86,GUTXG4I9JHU47Q24
2022-04-16,108,GUTXG4I9JHU47Q24
2022-04-17,95,GUTXG4I9JHU47Q24
2022-04-18,72,GUTXG4I9JHU47Q24
2022-04-19,95,GUTXG4I9JHU47Q24
2022-04-20,115,GUTXG4I9JHU47Q24
2022-04-21,86,GUTXG4I9JHU47Q24
2022-04-22,144,GUTXG4I9JHU47Q24
2022-04-23,94,GUTXG4I9JHU47Q24
2022-04-24,116,GUTXG4I9JHU47Q24
2022-04-25,130,GUTXG4I9JHU47Q24
2022-04-26,85,GUTXG4I9JHU47Q24
2022-04-27,106,GUTXG4I9JHU47Q24
2022-04-28,105,GUTXG4I9JHU47Q24
2022-04-29,108,GUTXG4I9JHU47Q24
2022-04-30,106,GUTXG4I9JHU47Q24
2022-05-01,87,GUTXG4I9JHU47Q24
2022-05-02,128,GUTXG4I9JHU47Q24
2022-05-03,135,GUTXG4I9JHU47Q24
2022-05-04,53,GUTXG4I9JHU47Q24
2022-05-05,135,GUTXG4I9JHU47Q24
2022-05-06,106,GUTXG4I9JHU47Q24
2022-05-07,89,GUTXG4I9JHU47Q24
2022-05-08,88,GUTXG4I9JHU47Q24
2022-05-09,105,GUTXG4I9JHU47Q24
2022-05-10,102,GUTXG4I9JHU47Q24
2022-05-11,98,GUTXG4I9JHU47Q24
2022-05-12,155,GUTXG4I9JHU47Q24
2022-05-13,98,GUTXG4I9JHU47Q24
2022-05-14,84,GUTXG4I9JHU47Q24
2022-05-15,82,GUTXG4I9JHU47Q24
2022-05-16,108,GUTXG4I9JHU47Q24
2022-05-17,101,GUTXG4I9JHU47Q24
2022-05-18,109,GUTXG4I9JHU47Q24
2022-05-19,50,GUTXG4I9JHU47Q24
2022-05-20,103,GUTXG4I9JHU47Q24
2022-05-21,132,GUTXG4I9JHU47Q24
2022-05-22,126,GUTXG4I9JHU47Q24
2022-05-23,115,GUTXG4I9JHU47Q24
2022-05-24,75,GUTXG4I9JHU47Q24
2022-05-25,136,GUTXG4I9JHU47Q24
2022-05-26,82,GUTXG4I9JHU47Q24
2022-05-27,93,GUTXG4I9JHU47Q24
2022-05-28,150,GUTXG4I9JHU47Q24
2022-05-29,98,GUTXG4I9JHU47Q24
2022-05-30,126,GUTXG4I9JHU47Q24
2022-05-31,143,GUTXG4I9JHU47Q24
2022-06-01,83,GUTXG4I9JHU47Q24
2022-06-02,60,GUTXG4I9JHU47Q24
2022-06-03,81,GUTXG4I9JHU47Q24
2022-06-04,79,GUTXG4I9JHU47Q24
2022-06-05,106,GUTXG4I9JHU47Q24
2022-06-06,52,GUTXG4I9JHU47Q24
2022-06-07,128,GUTXG4I9JHU47Q24
2022-06-08,93,GUTXG4I9JHU47Q24
2022-06-09,88,GUTXG4I9JHU47Q24
2022-06-10,105,GUTXG4I9JHU47Q24
2022-06-11,171,GUTXG4I9JHU47Q24
2022-06-12,142,GUTXG4I9JHU47Q24
2022-06-13,78,GUTXG4I9JHU47Q24
2022-06-14,86,GUTXG4I9JHU47Q24
2022-06-15,83,GUTXG4I9JHU47Q24
2022-06-16,95,GUTXG4I9JHU47Q24
2022-06-17,113,GUTXG4I9JHU47Q24
2022-06-18,73,GUTXG4I9JHU47Q24
2022-06-19,85,GUTXG4I9JHU47Q24
2022-06-20,74,GUTXG4I9JHU47Q24
2022-06-21,96,GUTXG4I9JHU47Q24
2022-06-22,130,GUTXG4I9JHU47Q24
2022-06-23,156,GUTXG4I9JHU47Q24
2022-06-24,99,GUTXG4I9JHU47Q24
2022-06-25,113,GUTXG4I9JHU47Q24
2022-06-26,65,GUTXG4I9JHU47Q24
2022-06-27,71,GUTXG4I9JHU47Q24
2022-06-28,94,GUTXG4I9JHU47Q24
2022-06-29,140,GUTXG4I9JHU47Q24
2022-06-30,83,GUTXG4I9JHU47Q24
2022-07-01,81,GUTXG4I9JHU47Q24
2022-07-02,91,GUTXG4I9JHU47Q24
2022-07-03,43,GUTXG4I9JHU47Q24
2022-07-04,132,GUTXG4I9JHU47Q24
2022-07-05,94,GUTXG4I9JHU47Q24
2022-07-06,125,GUTXG4I9JHU47Q24
2022-07-07,109,GUTXG4I9JHU47Q24
2022-07-08,100,GUTXG4I9JHU47Q24
2022-07-09,58,GUTXG4I9JHU47Q24
2022-07-10,96,GUTXG4I9JHU47Q24
2022-07-11,111,GUTXG4I9JHU47Q24
2022-07-12,143,GUTXG4I9JHU47Q24
2022-07-13,89,GUTXG4I9JHU47Q24
2022-07-14,123,GUTXG4I9JHU47Q24
2022-07-15,97,GUTXG4I9JHU47Q24
2022-07-16,100,GUTXG4I9JHU47Q24
2022-07-17,100,GUTXG4I9JHU47Q24
2022-07-18,162,GUTXG4I9JHU47Q24
2022-07-19,101,GUTXG4I9JHU47Q24
2022-07-20,116,GUTXG4I9JHU47Q24
2022-07-21,112,GUTXG4I9JHU47Q24
2022-07-22,83,GUTXG4I9JHU47Q24
2022-07-23,104,GUTXG4I9JHU47Q24
2022-07-24,84,GUTXG4I9JHU47Q24
2022-07-25,111,GUTXG4I9JHU47Q24
2022-07-26,74,GUTXG4I9JHU47Q24
2022-07-27,103,GUTXG4I9JHU47Q24
2022-07-28,112,GUTXG4I9JHU47Q24
2022-07-29,61,GUTXG4I9JHU47Q24
2022-07-30,55,GUTXG4I9JHU47Q24
2022-07-31,104,GUTXG4I9JHU47Q24
2022-08-01,112,GUTXG4I9JHU47Q24
2022-08-02,110,GUTXG4I9JHU47Q24
2022-08-03,121,GUTXG4I9JHU47Q24
2022-08-04,84,GUTXG4I9JHU47Q24
2022-08-05,131,GUTXG4I9JHU47Q24
2022-08-06,98,GUTXG4I9JHU47Q24
2022-08-07,127,GUTXG4I9JHU47Q24
2022-08-08,84,GUTXG4I9JHU47Q24
2022-08-09,91,GUTXG4I9JHU47Q24
2022-08-10,70,GUTXG4I9JHU47Q24
2022-08-11,87,GUTXG4I9JHU47Q24
2022-08-12,77,GUTXG4I9JHU47Q24
2022-08-13,110,GUTXG4I9JHU47Q24
2022-08-14,75,GUTXG4I9JHU47Q24
2022-08-15,80,GUTXG4I9JHU47Q24
2022-08-16,141,GUTXG4I9JHU47Q24
2022-08-17,65,GUTXG4I9JHU47Q24
2022-08-18,104,GUTXG4I9JHU47Q24
2022-08-19,112,GUTXG4I9JHU47Q24
2022-08-20,53,GUTXG4I9JHU47Q24
2022-08-21,52,GUTXG4I9JHU47Q24
2022-08-22,108,GUTXG4I9JHU47Q24
2022-08-23,80,GUTXG4I9JHU47Q24
2022-08-24,109,GUTXG4I9JHU47Q24
2022-08-25,79,GUTXG4I9JHU47Q24
2022-08-26,63,GUTXG4I9JHU47Q24
2022-08-27,78,GUTXG4I9JHU47Q24
2022-08-28,79,GUTXG4I9JHU47Q24
2022-08-29,125,GUTXG4I9JHU47Q24
2022-08-30,122,GUTXG4I9JHU47Q24
2022-08-31,102,GUTXG4I9JHU47Q24
2022-09-01,24,GUTXG4I9JHU47Q24
2022-09-02,137,GUTXG4I9JHU47Q24
2022-09-03,56,GUTXG4I9JHU47Q24
2022-09-04,76,GUTXG4I9JHU47Q24
2022-09-05,77,GUTXG4I9JHU47Q24
2022-09-06,105,GUTXG4I9JHU47Q24
2022-09-07,132,GUTXG4I9JHU47Q24
2022-09-08,93,GUTXG4I9JHU47Q24
2022-09-09,135,GUTXG4I9JHU47Q24
2022-09-10,125,GUTXG4I9JHU47Q24
2022-09-11,144,GUTXG4I9JHU47Q24
2022-09-12,62,GUTXG4I9JHU47Q24
2022-09-13,89,GUTXG4I9JHU47Q24
2022-09-14,142,GUTXG4I9JHU47Q24
2022-09-15,30,GUTXG4I9JHU47Q24
2022-09-16,99,GUTXG4I9JHU47Q24
2022-09-17,46,GUTXG4I9JHU47Q24
2022-09-18,66,GUTXG4I9JHU47Q24
2022-09-19,154,GUTXG4I9JHU47Q24
2022-09-20,118,GUTXG4I9JHU47Q24
2022-09-21,92,GUTXG4I9JHU47Q24
2022-09-22,132,GUTXG4I9JHU47Q24
2022-09-23,99,GUTXG4I9JHU47Q24
2022-09-24,87,GUTXG4I9JHU47Q24
2022-09-25,108,GUTXG4I9JHU47Q24
2022-09-26,88,GUTXG4I9JHU47Q24
2022-09-27,138,GUTXG4I9JHU47Q24
2022-09-28,118,GUTXG4I9JHU47Q24
2022-09-29,109,GUTXG4I9JHU47Q24
2022-09-30,112,GUTXG4I9JHU47Q24
2022-10-01,79,GUTXG4I9JHU47Q24
2022-10-02,100,GUTXG4I9JHU47Q24
2022-10-03,108,GUTXG4I9JHU47Q24
2022-10-04,117,GUTXG4I9JHU47Q24
2022-10-05,77,GUTXG4I9JHU47Q24
2022-10-06,81,GUTXG4I9JHU47Q24
2022-10-07,133,GUTXG4I9JHU47Q24
2022-10-08,111,GUTXG4I9JHU47Q24
2022-10-09,56,GUTXG4I9JHU47Q24
2022-10-10,147,GUTXG4I9JHU47Q24
2022-10-11,97,GUTXG4I9JHU47Q24
2022-10-12,124,GUTXG4I9JHU47Q24
2022-10-13,132,GUTXG4I9JHU47Q24
2022-10-14,114,GUTXG4I9JHU47Q24
2022-10-15,68,GUTXG4I9JHU47Q24
2022-10-16,122,GUTXG4I9JHU47Q24
2022-10-17,114,GUTXG4I9JHU47Q24
2022-10-18,68,GUTXG4I9JHU47Q24
2022-10-19,22,GUTXG4I9JHU47Q24
2022-10-20,53,GUTXG4I9JHU47Q24
2022-10-21,21,GUTXG4I9JHU47Q24
2022-10-22,41,GUTXG4I9JHU47Q24
2022-10-23,14,GUTXG4I9JHU47Q24
2022-10-24,12,GUTXG4I9JHU47Q24
2022-10-25,134,GUTXG4I9JHU47Q24
2022-10-26,66,GUTXG4I9JHU47Q24
2022-10-27,97,GUTXG4I9JHU47Q24
2022-10-28,82,GUTXG4I9JHU47Q24
2022-10-29,111,GUTXG4I9JHU47Q24
2022-10-30,129,GUTXG4I9JHU47Q24
2022-10-31,105,GUTXG4I9JHU47Q24
2022-11-01,117,GUTXG4I9JHU47Q24
2022-11-02,117,GUTXG4I9JHU47Q24
2022-11-03,152,GUTXG4I9JHU47Q24
2022-11-04,110,GUTXG4I9JHU47Q24
2022-11-05,102,GUTXG4I9JHU47Q24
2022-11-06,86,GUTXG4I9JHU47Q24
2022-11-07,146,GUTXG4I9JHU47Q24
2022-11-08,106,GUTXG4I9JHU47Q24
2022-11-09,72,GUTXG4I9JHU47Q24
2022-11-10,77,GUTXG4I9JHU47Q24
2022-11-11,101,GUTXG4I9JHU47Q24
2022-11-12,92,GUTXG4I9JHU47Q24
2022-11-13,103,GUTXG4I9JHU47Q24
2022-11-14,48,GUTXG4I9JHU47Q24
2022-11-15,127,GUTXG4I9JHU47Q24
2022-11-16,140,GUTXG4I9JHU47Q24
2022-11-17,114,GUTXG4I9JHU47Q24
2022-11-18,114,GUTXG4I9JHU47Q24
2022-11-19,127,GUTXG4I9JHU47Q24
2022-11-20,43,GUTXG4I9JHU47Q24
2022-11-21,87,GUTXG4I9JHU47Q24
2022-11-22,128,GUTXG4I9JHU47Q24
2022-11-23,85,GUTXG4I9JHU47Q24
2022-11-24,125,GUTXG4I9JHU47Q24
2022-11-25,108,GUTXG4I9JHU47Q24
2022-11-26,108,GUTXG4I9JHU47Q24
2022-11-27,109,GUTXG4I9JHU47Q24
2022-11-28,78,GUTXG4I9JHU47Q24
2022-11-29,73,GUTXG4I9JHU47Q24
2022-11-30,106,GUTXG4I9JHU47Q24
2022-12-01,78,GUTXG4I9JHU47Q24
2022-12-02,97,GUTXG4I9JHU47Q24
2022-12-03,102,GUTXG4I9JHU47Q24
2022-12-04,104,GUTXG4I9JHU47Q24
2022-12-05,134,GUTXG4I9JHU47Q24
2022-12-06,48,GUTXG4I9JHU47Q24
2022-12-07,98,GUTXG4I9JHU47Q24
2022-12-08,98,GUTXG4I9JHU47Q24
2022-12-09,125,GUTXG4I9JHU47Q24
2022-12-10,124,GUTXG4I9JHU47Q24
2022-12-11,75,GUTXG4I9JHU47Q24
2022-12-12,99,GUTXG4I9JHU47Q24
2022-12-13,76,GUTXG4I9JHU47Q24
2022-12-14,61,GUTXG4I9JHU47Q24
2022-12-15,75,GUTXG4I9JHU47Q24
2022-12-16,116,GUTXG4I9JHU47Q24
2022-12-17,164,GUTXG4I9JHU47Q24
2022-12-18,88,GUTXG4I9JHU47Q24
2022-12-19,90,GUTXG4I9JHU47Q24
2022-12-20,119,GUTXG4I9JHU47Q24
2022-12-21,114,GUTXG4I9JHU47Q24
2022-12-22,114,GUTXG4I9JHU47Q24
2022-12-23,48,GUTXG4I9JHU47Q24
2022-12-24,39,GUTXG4I9JHU47Q24
2022-12-25,58,GUTXG4I9JHU47Q24
2022-12-26,34,GUTXG4I9JHU47Q24
2022-12-27,5,GUTXG4I9JHU47Q24
2022-12-28,41,GUTXG4I9JHU47Q24
2022-12-29,5,GUTXG4I9JHU47Q24
2022-12-30,103,GUTXG4I9JHU47Q24
2022-12-31,77,GUTXG4I9JHU47Q24
2023-01-01,146,GUTXG4I9JHU47Q24
2023-01-02,81,GUTXG4I9JHU47Q24
2023-01-03,116,GUTXG4I9JHU47Q24
2023-01-04,92,GUTXG4I9JHU47Q24
2023-01-05,93,GUTXG4I9JHU47Q24
2023-01-06,77,GUTXG4I9JHU47Q24
2023-01-07,87,GUTXG4I9JHU47Q24
2023-01-08,117,GUTXG4I9JHU47Q24
2023-01-09,77,GUTXG4I9JHU47Q24
2023-01-10,132,GUTXG4I9JHU47Q24
2023-01-11,72,GUTXG4I9JHU47Q24
2023-01-12,56,GUTXG4I9JHU47Q24
2023-01-13,64,GUTXG4I9JHU47Q24
2023-01-14,80,GUTXG4I9JHU47Q24
2023-01-15,75,GUTXG4I9JHU47Q24
2023-01-16,103,GUTXG4I9JHU47Q24
2023-01-17,128,GUTXG4I9JHU47Q24
2023-01-18,103,GUTXG4I9JHU47Q24
2023-01-19,94,GUTXG4I9JHU47Q24
2023-01-20,63,GUTXG4I9JHU47Q24
2023-01-21,30,GUTXG4I9JHU47Q24
2023-01-22,66,GUTXG4I9JHU47Q24
2023-01-23,112,GUTXG4I9JHU47Q24
2023-01-24,59,GUTXG4I9JHU47Q24
2023-01-25,95,GUTXG4I9JHU47Q24
2023-01-26,103,GUTXG4I9JHU47Q24
2023-01-27,126,GUTXG4I9JHU47Q24
2023-01-28,102,GUTXG4I9JHU47Q24
2023-01-29,26,GUTXG4I9JHU47Q24
2023-01-30,141,GUTXG4I9JHU47Q24
2023-01-31,117,GUTXG4I9JHU47Q24
2023-02-01,102,GUTXG4I9JHU47Q24
2023-02-02,82,GUTXG4I9JHU47Q24
2023-02-03,76,GUTXG4I9JHU47Q24
2023-02-04,71,GUTXG4I9JHU47Q24
2023-02-05,141,GUTXG4I9JHU47Q24
2023-02-06,160,GUTXG4I9JHU47Q24
2023-02-07,108,GUTXG4I9JHU47Q24
2023-02-08,71,GUTXG4I9JHU47Q24
2023-02-09,122,GUTXG4I9JHU47Q24
2023-02-10,109,GUTXG4I9JHU47Q24
2023-02-11,54,GUTXG4I9JHU47Q24
2023-02-12,87,GUTXG4I9JHU47Q24
2023-02-13,70,GUTXG4I9JHU47Q24
2023-02-14,47,GUTXG4I9JHU47Q24
2023-02-15,78,GUTXG4I9JHU47Q24
2023-02-16,132,GUTXG4I9JHU47Q24
2023-02-17,98,GUTXG4I9JHU47Q24
2023-02-18,95,GUTXG4I9JHU47Q24
2023-02-19,98,GUTXG4I9JHU47Q24
2023-02-20,134,GUTXG4I9JHU47Q24
2023-02-21,100,GUTXG4I9JHU47Q24
2023-02-22,121,GUTXG4I9JHU47Q24
2023-02-23,83,GUTXG4I9JHU47Q24
2023-02-24,118,GUTXG4I9JHU47Q24
2023-02-25,111,GUTXG4I9JHU47Q24
2023-02-26,115,GUTXG4I9JHU47Q24
2023-02-27,92,GUTXG4I9JHU47Q24
2023-02-28,86,GUTXG4I9JHU47Q24
2023-03-01,108,GUTXG4I9JHU47Q24
2023-03-02,129,GUTXG4I9JHU47Q24
2023-03-03,125,GUTXG4I9JHU47Q24
2023-03-04,101,GUTXG4I9JHU47Q24
2023-03-05,118,GUTXG4I9JHU47Q24
2023-03-06,106,GUTXG4I9JHU47Q24
2023-03-07,90,GUTXG4I9JHU47Q24
2023-03-08,111,GUTXG4I9JHU47Q24
2023-03-09,115,GUTXG4I9JHU47Q24
2023-03-10,108,GUTXG4I9JHU47Q24
2023-03-11,76,GUTXG4I9JHU47Q24
2023-03-12,114,GUTXG4I9JHU47Q24
2023-03-13,102,GUTXG4I9JHU47Q24
2023-03-14,102,GUTXG4I9JHU47Q24
2023-03-15,97,GUTXG4I9JHU47Q24
2023-03-16,107,GUTXG4I9JHU47Q24
2023-03-17,93,GUTXG4I9JHU47Q24
2023-03-18,86,GUTXG4I9JHU47Q24
2023-03-19,65,GUTXG4I9JHU47Q24
2023-03-20,64,GUTXG4I9JHU47Q24
2023-03-21,87,GUTXG4I9JHU47Q24
2023-03-22,66,GUTXG4I9JHU47Q24
2023-03-23,74,GUTXG4I9JHU47Q24
2023-03-24,119,GUTXG4I9JHU47Q24
2023-03-25,62,GUTXG4I9JHU47Q24
2023-03-26,90,GUTXG4I9JHU47Q24
2023-03-27,76,GUTXG4I9JHU47Q24
2023-03-28,131,GUTXG4I9JHU47Q24
2023-03-29,93,GUTXG4I9JHU47Q24
2023-03-30,161,GUTXG4I9JHU47Q24
2023-03-31,80,GUTXG4I9JHU47Q24
2023-04-01,111,GUTXG4I9JHU47Q24
2023-04-02,71,GUTXG4I9JHU47Q24
2023-04-03,35,GUTXG4I9JHU47Q24
2023-04-04,164,GUTXG4I9JHU47Q24
2023-04-05,65,GUTXG4I9JHU47Q24
2023-04-06,68,GUTXG4I9JHU47Q24
2023-04-07,117,GUTXG4I9JHU47Q24
2023-04-08,91,GUTXG4I9JHU47Q24
2023-04-09,113,GUTXG4I9JHU47Q24
2023-04-10,102,GUTXG4I9JHU47Q24
2023-04-11,51,GUTXG4I9JHU47Q24
2023-04-12,121,GUTXG4I9JHU47Q24
2023-04-13,122,GUTXG4I9JHU47Q24
2023-04-14,148,GUTXG4I9JHU47Q24
2023-04-15,118,GUTXG4I9JHU47Q24
2023-04-16,90,GUTXG4I9JHU47Q24
2023-04-17,102,GUTXG4I9JHU47Q24
2023-04-18,64,GUTXG4I9JHU47Q24
2023-04-19,102,GUTXG4I9JHU47Q24
2023-04-20,109,GUTXG4I9JHU47Q24
2023-04-21,84,GUTXG4I9JHU47Q24
2023-04-22,73,GUTXG4I9JHU47Q24
2023-04-23,109,GUTXG4I9JHU47Q24
2023-04-24,94,GUTXG4I9JHU47Q24
2023-04-25,145,GUTXG4I9JHU47Q24
2023-04-26,129,GUTXG4I9JHU47Q24
2023-04-27,157,GUTXG4I9JHU47Q24
2023-04-28,108,GUTXG4I9JHU47Q24
2023-04-29,50,GUTXG4I9JHU47Q24
2023-04-30,87,GUTXG4I9JHU47Q24
2023-05-01,114,GUTXG4I9JHU47Q24
2023-05-02,119,GUTXG4I9JHU47Q24
2023-05-03,44,GUTXG4I9JHU47Q24
2023-05-04,2,GUTXG4I9JHU47Q24
2023-05-05,32,GUTXG4I9JHU47Q24
2023-05-06,10,GUTXG4I9JHU47Q24
2023-05-07,66,GUTXG4I9JHU47Q24
2023-05-08,68,GUTXG4I9JHU47Q24
2023-05-09,43,GUTXG4I9JHU47Q24
2023-05-10,150,GUTXG4I9JHU47Q24
2023-05-11,78,GUTXG4I9JHU47Q24
2023-05-12,128,GUTXG4I9JHU47Q24
2023-05-13,106,GUTXG4I9JHU47Q24
2023-05-14,97,GUTXG4I9JHU47Q24
2023-05-15,83,GUTXG4I9JHU47Q24
2023-05-16,40,GUTXG4I9JHU47Q24
2023-05-17,99,GUTXG4I9JHU47Q24
2023-05-18,106,GUTXG4I9JHU47Q24
2023-05-19,90,GUTXG4I9JHU47Q24
2023-05-20,62,GUTXG4I9JHU47Q24
2023-05-21,94,GUTXG4I9JHU47Q24
2023-05-22,84,GUTXG4I9JHU47Q24
2023-05-23,125,GUTXG4I9JHU47Q24
2023-05-24,26,GUTXG4I9JHU47Q24
2023-05-25,122,GUTXG4I9JHU47Q24
2023-05-26,130,GUTXG4I9JHU47Q24
2023-05-27,84,GUTXG4I9JHU47Q24
2023-05-28,131,GUTXG4I9JHU47Q24
2023-05-29,66,GUTXG4I9JHU47Q24
2023-05-30,99,GUTXG4I9JHU47Q24
2023-05-31,163,GUTXG4I9JHU47Q24
2023-06-01,131,GUTXG4I9JHU47Q24
2023-06-02,115,GUTXG4I9JHU47Q24
2023-06-03,97,GUTXG4I9JHU47Q24
2023-06-04,92,GUTXG4I9JHU47Q24
2023-06-05,147,GUTXG4I9JHU47Q24
2023-06-06,102,GUTXG4I9JHU47Q24
2023-06-07,147,GUTXG4I9JHU47Q24
2023-06-08,91,GUTXG4I9JHU47Q24
2023-06-09,141,GUTXG4I9JHU47Q24
2023-06-10,79,GUTXG4I9JHU47Q24
2023-06-11,105,GUTXG4I9JHU47Q24
2023-06-12,109,GUTXG4I9JHU47Q24
2023-06-13,114,GUTXG4I9JHU47Q24
2023-06-14,120,GUTXG4I9JHU47Q24
2023-06-15,85,GUTXG4I9JHU47Q24
2023-06-16,103,GUTXG4I9JHU47Q24
2023-06-17,87,GUTXG4I9JHU47Q24
2023-06-18,83,GUTXG4I9JHU47Q24
