date,break,serial_number
2022-07-18,1,2UW3NKQU4Y3KGBVK
2022-09-27,1,2UW3NKQU4Y3KGBVK
2022-10-13,1,2UW3NKQU4Y3KGBVK
2022-11-23,1,2UW3NKQU4Y3KGBVK
2022-12-20,0,2UW3NKQU4Y3KGBVK
2023-01-26,0,2UW3NKQU4Y3KGBVK
2023-07-31,1,2UW3NKQU4Y3KGBVK
2023-11-10,1,2UW3NKQU4Y3KGBVK
2023-11-22,1,2UW3NKQU4Y3KGBVK
2024-04-06,0,2UW3NKQU4Y3KGBVK
2024-04-21,1,2UW3NKQU4Y3KGBVK
2024-06-27,1,2UW3NKQU4Y3KGBVK
2024-07-26,1,2UW3NKQU4Y3KGBVK
2024-09-22,0,2UW3NKQU4Y3KGBVK
2025-01-21,0,VMMPTPED2B0C9QAV
2025-08-24,1,VMMPTPED2B0C9QAV
2022-06-22,0,EF3KQOXT4MJJCQPF
2025-07-13,1,SMSYZIWEG48LYJUN
2025-07-23,1,SMSYZIWEG48LYJUN
2025-08-11,1,SMSYZIWEG48LYJUN
2023-06-19,1,0U3HQ4Y9JHU47Q24
2023-08-31,1,0U3HQ4Y9JHU47Q24
2024-12-07,1,PX64IZN0VY2S45YW
2025-01-27,1,PX64IZN0VY2S45YW
2025-02-22,1,PX64IZN0VY2S45YW
2025-03-19,0,PX64IZN0VY2S45YW
2025-04-18,1,PX64IZN0VY2S45YW
2025-06-04,1,PX64IZN0VY2S45YW
2025-06-30,1,PX64IZN0VY2S45YW
2025-08-17,1,PX64IZN0VY2S45YW
2023-09-03,1,S4GYAFQU4YKFGAVK
2025-03-23,1,CYAAWEP7ROCVAKJC
2025-06-22,1,CYAAWEP7ROCVAKJC
2025-07-03,1,CYAAWEP7ROCVAKJC
2025-08-06,1,CYAAWEP7ROCVAKJC
2024-01-07,1,0FC1X95UT1OOEXV3
2024-01-21,1,0FC1X95UT1OOEXV3
2024-02-19,1,0FC1X95UT1OOEXV3
2024-03-11,0,0FC1X95UT1OOEXV3
2024-03-18,0,0FC1X95UT1OOEXV3
2024-04-20,1,0FC1X95UT1OOEXV3
2024-04-25,1,0FC1X95UT1OOEXV3
2024-05-17,1,0FC1X95UT1OOEXV3
2024-06-04,1,0FC1X95UT1OOEXV3
2024-09-19,1,0FC1X95UT1OOEXV3
2024-11-24,1,0FC1X95UT1OOEXV3
2024-12-14,1,0FC1X95UT1OOEXV3
2024-12-19,1,0FC1X95UT1OOEXV3
2023-08-10,1,2144SWNV0YLN4B1W
2024-05-20,1,2144SWNV0YLN4B1W
2024-07-10,1,2144SWNV0YLN4B1W
2024-07-25,0,2144SWNV0YLN4B1W
2024-11-15,0,2144SWNV0YLN4B1W
2024-12-31,1,2144SWNV0YLN4B1W
2024-04-10,1,ETYBQT1O9B4TSQDU
2023-12-28,1,EXDMWQ6CGT7ZMKT8
2024-07-26,1,EXDMWQ6CGT7ZMKT8
2024-11-20,1,EXDMWQ6CGT7ZMKT8
2025-03-30,0,EXDMWQ6CGT7ZMKT8
2025-04-09,1,EXDMWQ6CGT7ZMKT8
2022-05-27,1,01EINKG2ZHVGJQB0
2023-05-16,1,CFLO55Q4UY99G50K
2023-06-30,1,CFLO55Q4UY99G50K
2023-07-20,1,CFLO55Q4UY99G50K
2023-08-27,1,CFLO55Q4UY99G50K
2023-10-17,1,CFLO55Q4UY99G50K
2023-11-21,1,CFLO55Q4UY99G50K
2024-04-18,1,CFLO55Q4UY99G50K
2025-03-06,1,SY9DDAWEG4N6YOUN
2025-05-12,0,SY9DDAWEG4N6YOUN
2025-05-22,1,SY9DDAWEG4N6YOUN
2025-05-24,0,SY9DDAWEG4N6YOUN
2025-07-02,1,SY9DDAWEG4N6YOUN
2022-05-02,1,P46KQQMJOATURQZT
2022-06-09,1,P46KQQMJOATURQZT
2022-07-18,1,P46KQQMJOATURQZT
2025-01-12,1,0XX78FIVP1DRUX1L
2025-05-03,1,0XX78FIVP1DRUX1L
2025-05-12,0,0XX78FIVP1DRUX1L
2025-06-09,1,0XX78FIVP1DRUX1L
2024-09-05,1,SUUOVBQU4Y3KGBVK
2022-07-13,1,GUCY2QY9JHU47Q24
2022-09-25,1,CXAK45WGE4S2Y34N
2023-05-23,1,CXAK45WGE4S2Y34N
2022-04-15,1,PY4MHKCZDAPEOQHP
2022-12-05,1,GF55VX5UT1OOEXV3
2023-05-24,1,GF55VX5UT1OOEXV3
2023-07-02,1,GF55VX5UT1OOEXV3
2023-07-09,1,GF55VX5UT1OOEXV3
2023-07-29,1,GF55VX5UT1OOEXV3
2024-01-12,1,GF55VX5UT1OOEXV3
2022-10-23,1,S12KUBWEG4IWY9UN
2022-10-28,1,S12KUBWEG4IWY9UN
2022-12-15,1,S12KUBWEG4IWY9UN
2023-02-09,1,S12KUBWEG4IWY9UN
2023-03-30,0,S12KUBWEG4IWY9UN
2023-06-25,1,S12KUBWEG4IWY9UN
2023-08-01,1,S12KUBWEG4IWY9UN
2023-08-26,1,S12KUBWEG4IWY9UN
2023-12-04,1,S12KUBWEG4IWY9UN
2024-01-04,1,S12KUBWEG4IWY9UN
2024-01-19,1,S12KUBWEG4IWY9UN
2024-04-12,1,S12KUBWEG4IWY9UN
2024-04-23,1,S12KUBWEG4IWY9UN
2024-05-01,1,S12KUBWEG4IWY9UN
2024-07-22,0,S12KUBWEG4IWY9UN
2024-10-08,1,S12KUBWEG4IWY9UN
2024-12-03,1,S12KUBWEG4IWY9UN
2024-12-30,1,S12KUBWEG4IWY9UN
2025-02-15,0,S12KUBWEG4IWY9UN
2024-02-04,1,VTQ1DQ1O9B4TSQDU
2024-03-25,1,VTQ1DQ1O9B4TSQDU
2024-06-26,1,VTQ1DQ1O9B4TSQDU
2024-09-07,1,VTQ1DQ1O9B4TSQDU
2024-09-19,1,VTQ1DQ1O9B4TSQDU
2025-08-24,1,VTQ1DQ1O9B4TSQDU
2025-08-28,1,VTQ1DQ1O9B4TSQDU
2025-02-15,1,VX8XMK8P0MZ5TQM6
2025-06-20,1,STPTVHPU4OFBGHVK
2024-03-10,1,G1OR9QOM7IE3HK9G
2022-12-11,0,PFPT05PAUO9XG50K
2022-12-27,1,PFPT05PAUO9XG50K
2023-03-27,0,PFPT05PAUO9XG50K
2023-05-21,0,PFPT05PAUO9XG50K
2023-06-05,0,PFPT05PAUO9XG50K
2023-07-04,1,PFPT05PAUO9XG50K
2023-11-29,1,PFPT05PAUO9XG50K
2023-12-09,1,PFPT05PAUO9XG50K
2024-01-05,1,PFPT05PAUO9XG50K
2024-02-11,1,PFPT05PAUO9XG50K
2023-10-27,1,2YMP1OM30DWH4A1W
2024-02-01,1,2YMP1OM30DWH4A1W
2024-02-07,1,2YMP1OM30DWH4A1W
2024-02-13,0,2YMP1OM30DWH4A1W
2024-02-20,1,2YMP1OM30DWH4A1W
2024-10-26,1,2YMP1OM30DWH4A1W
2024-10-30,1,2YMP1OM30DWH4A1W
2025-01-13,1,2YMP1OM30DWH4A1W
2025-01-18,0,2YMP1OM30DWH4A1W
2024-02-29,1,C4U9TQ2YGKT5RQZT
2024-04-07,1,C4U9TQ2YGKT5RQZT
2024-10-11,1,GXRG7X4HB7RK1FUI
2024-10-13,1,GXRG7X4HB7RK1FUI
2025-01-08,1,GXRG7X4HB7RK1FUI
2025-03-29,1,GXRG7X4HB7RK1FUI
2025-05-08,1,GXRG7X4HB7RK1FUI
2025-06-15,1,GXRG7X4HB7RK1FUI
2022-04-03,1,2UKT3UPX8O3AGBVK
2022-04-10,1,2UKT3UPX8O3AGBVK
2022-07-03,1,2UKT3UPX8O3AGBVK
2023-02-22,1,2UKT3UPX8O3AGBVK
2023-04-05,1,2UKT3UPX8O3AGBVK
2022-10-18,1,VMPZ0RHUU6059QAV
2022-10-26,1,VMPZ0RHUU6059QAV
2023-03-13,1,VMPZ0RHUU6059QAV
2023-03-16,1,VMPZ0RHUU6059QAV
2023-04-01,1,VMPZ0RHUU6059QAV
2023-04-26,1,VMPZ0RHUU6059QAV
2023-07-13,1,VMPZ0RHUU6059QAV
2023-10-28,1,VMPZ0RHUU6059QAV
2024-03-01,1,VMPZ0RHUU6059QAV
2025-05-22,1,EFIU9TVBR9J5CQPF
2025-05-29,1,EFIU9TVBR9J5CQPF
2022-07-09,1,SMBB8VTQQR89YJUN
2022-07-31,0,SMBB8VTQQR89YJUN
2023-01-23,1,SMBB8VTQQR89YJUN
2023-03-10,1,SMBB8VTQQR89YJUN
2023-05-30,1,SMBB8VTQQR89YJUN
2023-09-07,1,SMBB8VTQQR89YJUN
2024-02-22,1,SMBB8VTQQR89YJUN
2024-04-26,0,SMBB8VTQQR89YJUN
2024-06-04,1,SMBB8VTQQR89YJUN
2025-03-22,1,0UIQU9DMC3U57Q24
2025-05-16,1,0UIQU9DMC3U57Q24
2025-06-11,1,0UIQU9DMC3U57Q24
2025-04-19,1,CYDXCZ9YYNC3AKJC
2023-07-17,0,0FMAJU0HSJOQEXV3
2023-07-24,1,0FMAJU0HSJOQEXV3
2023-10-28,1,0FMAJU0HSJOQEXV3
2024-01-24,1,0FMAJU0HSJOQEXV3
2024-02-27,0,0FMAJU0HSJOQEXV3
2024-03-09,1,0FMAJU0HSJOQEXV3
2024-06-18,1,0FMAJU0HSJOQEXV3
2024-07-08,1,0FMAJU0HSJOQEXV3
2024-10-11,1,0FMAJU0HSJOQEXV3
2025-01-21,0,0FMAJU0HSJOQEXV3
2025-06-03,1,0FMAJU0HSJOQEXV3
2024-02-22,1,21G9LEMFFDLA4B1W
2024-03-08,1,21G9LEMFFDLA4B1W
2024-05-27,0,21G9LEMFFDLA4B1W
2025-01-13,1,ET054OZ1EF45SQDU
2025-04-11,1,ET054OZ1EF45SQDU
2025-04-25,1,ET054OZ1EF45SQDU
2025-05-24,1,ET054OZ1EF45SQDU
2025-06-01,0,ET054OZ1EF45SQDU
2025-08-24,1,ET054OZ1EF45SQDU
2023-01-26,1,EXOHSPUBAS73MKT8
2023-02-13,1,EXOHSPUBAS73MKT8
2023-05-20,1,EXOHSPUBAS73MKT8
2023-09-18,1,EXOHSPUBAS73MKT8
2023-11-06,0,EXOHSPUBAS73MKT8
2023-11-06,1,2T6FFUPQNOFBGHVK
2023-11-16,1,2T6FFUPQNOFBGHVK
2023-11-23,1,2T6FFUPQNOFBGHVK
2024-02-15,1,2T6FFUPQNOFBGHVK
2024-03-22,0,2T6FFUPQNOFBGHVK
2024-04-08,1,2T6FFUPQNOFBGHVK
2024-04-22,1,2T6FFUPQNOFBGHVK
2023-03-01,1,011CVSATTLV5JQB0
2023-01-20,0,CF3FN4PA7O9XG50K
2023-02-12,0,CF3FN4PA7O9XG50K
2023-09-07,1,CF3FN4PA7O9XG50K
2023-10-17,1,CF3FN4PA7O9XG50K
2023-12-19,1,CF3FN4PA7O9XG50K
2024-03-30,1,CF3FN4PA7O9XG50K
2024-04-19,1,CF3FN4PA7O9XG50K
2024-06-13,1,CF3FN4PA7O9XG50K
2024-07-11,1,CF3FN4PA7O9XG50K
2024-08-22,0,CF3FN4PA7O9XG50K
2024-09-06,1,CF3FN4PA7O9XG50K
2024-09-24,1,CF3FN4PA7O9XG50K
2024-11-25,0,CF3FN4PA7O9XG50K
2025-01-08,1,CF3FN4PA7O9XG50K
2025-02-22,0,CF3FN4PA7O9XG50K
2025-02-27,0,SYS6HVT55RNJYOUN
2025-06-07,1,SYS6HVT55RNJYOUN
2024-05-27,1,P4FUIJ2YGKT5RQZT
2024-09-27,1,P4FUIJ2YGKT5RQZT
2024-11-07,1,P4FUIJ2YGKT5RQZT
2025-03-17,0,P4FUIJ2YGKT5RQZT
2025-07-13,0,P4FUIJ2YGKT5RQZT
2024-06-20,1,0X6N3EYJ9ZDQUX1L
2024-10-03,1,0X6N3EYJ9ZDQUX1L
2025-01-21,1,0X6N3EYJ9ZDQUX1L
2025-01-22,1,0X6N3EYJ9ZDQUX1L
2025-03-20,1,0X6N3EYJ9ZDQUX1L
2025-04-06,1,0X6N3EYJ9ZDQUX1L
2025-08-03,1,0X6N3EYJ9ZDQUX1L
2023-12-15,1,SUEFRUPX8O3AGBVK
2024-01-10,0,SUEFRUPX8O3AGBVK
2024-05-13,0,SUEFRUPX8O3AGBVK
2024-05-24,1,SUEFRUPX8O3AGBVK
2025-04-21,1,EMA05DJ118G3BKOE
2025-05-04,1,EMA05DJ118G3BKOE
2022-06-19,1,VFC38TVBR9J5CQPF
2022-08-23,1,VFC38TVBR9J5CQPF
2022-08-31,1,VFC38TVBR9J5CQPF
2022-11-13,1,VFC38TVBR9J5CQPF
2023-10-03,1,2MU19EMKKD6B4H1W
2024-04-06,1,2MU19EMKKD6B4H1W
2024-04-30,1,2MU19EMKKD6B4H1W
2024-06-04,1,2MU19EMKKD6B4H1W
2024-08-26,0,2MU19EMKKD6B4H1W
2024-08-31,1,2MU19EMKKD6B4H1W
2024-11-09,1,2MU19EMKKD6B4H1W
2024-11-21,1,2MU19EMKKD6B4H1W
2024-11-22,1,2MU19EMKKD6B4H1W
2025-02-27,1,2MU19EMKKD6B4H1W
2025-03-21,1,2MU19EMKKD6B4H1W
2022-07-16,1,GUMBI9DMC3U57Q24
2022-11-23,1,GUMBI9DMC3U57Q24
2022-11-27,1,GUMBI9DMC3U57Q24
2023-10-12,1,GUMBI9DMC3U57Q24
2023-05-16,1,CXDUQ0TAHRSFY34N
2023-07-12,1,CXDUQ0TAHRSFY34N
2024-08-12,1,24517UP5IOKHGAVK
2024-10-07,0,24517UP5IOKHGAVK
2024-10-10,0,24517UP5IOKHGAVK
2025-01-19,1,24517UP5IOKHGAVK
2025-05-14,1,24517UP5IOKHGAVK
2025-05-20,0,24517UP5IOKHGAVK
2023-07-04,1,PYGH3MB44WP5OQHP
2023-07-31,1,PYGH3MB44WP5OQHP
2023-08-27,1,PYGH3MB44WP5OQHP
2024-01-31,1,PYGH3MB44WP5OQHP
2024-04-08,1,PYGH3MB44WP5OQHP
2024-06-10,1,PYGH3MB44WP5OQHP
2024-11-15,1,PYGH3MB44WP5OQHP
2024-07-10,1,GFLMIH0HSJOQEXV3
2024-08-03,1,GFLMIH0HSJOQEXV3
2024-08-08,1,GFLMIH0HSJOQEXV3
2024-08-28,1,GFLMIH0HSJOQEXV3
2024-09-09,1,GFLMIH0HSJOQEXV3
2024-11-06,1,GFLMIH0HSJOQEXV3
2025-01-06,0,GFLMIH0HSJOQEXV3
2025-02-18,1,GFLMIH0HSJOQEXV3
2025-04-27,1,GFLMIH0HSJOQEXV3
2025-06-04,1,GFLMIH0HSJOQEXV3
2025-04-27,0,VTWAIYZ1EF45SQDU
2025-04-28,0,VTWAIYZ1EF45SQDU
2025-08-13,1,VTWAIYZ1EF45SQDU
2025-08-20,1,VTWAIYZ1EF45SQDU
2022-06-22,1,VXXYFB19O2Z5TQM6
2022-08-06,1,VXXYFB19O2Z5TQM6
2022-08-08,1,VXXYFB19O2Z5TQM6
2025-04-09,1,STTJMX9QNOFBAHVK
2025-06-05,1,STTJMX9QNOFBAHVK
2023-06-23,1,G1R8DUNMMIE3LK9G
2024-01-07,1,G1R8DUNMMIE3LK9G
2024-01-18,0,G1R8DUNMMIE3LK9G
2024-05-14,1,G1R8DUNMMIE3LK9G
2024-06-21,1,G1R8DUNMMIE3LK9G
2022-09-15,1,PFTJMA9A7O9XA50K
2022-12-01,1,PFTJMA9A7O9XA50K
2024-03-13,1,C4E3BMFYGKT5QQZT
2024-06-10,1,C4E3BMFYGKT5QQZT
2024-08-16,0,C4E3BMFYGKT5QQZT
2024-08-23,0,GXAS0JRHB7RKZFUI
2024-09-17,1,GXAS0JRHB7RKZFUI
2023-09-30,1,2UNJM59X8O3AABVK
2023-10-15,1,2UNJM59X8O3AABVK
2023-11-15,0,2UNJM59X8O3AABVK
2023-11-18,1,2UNJM59X8O3AABVK
2024-06-04,1,2UNJM59X8O3AABVK
2024-06-30,1,2UNJM59X8O3AABVK
2024-09-15,1,2UNJM59X8O3AABVK
2024-12-23,1,2UNJM59X8O3AABVK
2025-01-25,1,2UNJM59X8O3AABVK
2025-03-11,1,2UNJM59X8O3AABVK
2025-03-19,0,2UNJM59X8O3AABVK
2023-02-15,1,VMTW7YLUU6058QAV
2023-03-23,1,VMTW7YLUU6058QAV
2023-04-07,1,VMTW7YLUU6058QAV
2023-08-07,0,VMTW7YLUU6058QAV
2023-08-27,1,VMTW7YLUU6058QAV
2024-06-15,1,EF5O1BJBR9J5BQPF
2024-10-18,1,EF5O1BJBR9J5BQPF
2022-06-07,1,SM25PFSQQR89DJUN
2022-07-02,1,SM25PFSQQR89DJUN
2022-08-09,1,SM25PFSQQR89DJUN
2022-08-16,1,SM25PFSQQR89DJUN
2023-12-23,1,0U51A1KMC3U55Q24
2024-03-30,1,0U51A1KMC3U55Q24
2024-04-16,1,0U51A1KMC3U55Q24
2024-04-24,1,0U51A1KMC3U55Q24
2024-07-27,1,PX83CA2OJD2XR5YW
2024-07-31,1,PX83CA2OJD2XR5YW
2022-12-31,1,S405MQ95IOKHAAVK
2023-01-24,1,S405MQ95IOKHAAVK
2023-03-19,1,S405MQ95IOKHAAVK
2023-03-29,1,S405MQ95IOKHAAVK
2023-10-12,0,CYOY2T8YYNC3WKJC
2024-02-02,0,CYOY2T8YYNC3WKJC
2024-04-27,1,CYOY2T8YYNC3WKJC
2024-06-15,1,CYOY2T8YYNC3WKJC
2024-06-25,1,CYOY2T8YYNC3WKJC
2024-08-02,0,CYOY2T8YYNC3WKJC
2024-09-16,1,CYOY2T8YYNC3WKJC
2024-10-12,1,CYOY2T8YYNC3WKJC
2024-10-17,1,CYOY2T8YYNC3WKJC
2024-10-31,1,CYOY2T8YYNC3WKJC
2024-11-02,0,CYOY2T8YYNC3WKJC
2024-12-10,1,CYOY2T8YYNC3WKJC
2025-01-09,1,CYOY2T8YYNC3WKJC
2025-01-10,0,CYOY2T8YYNC3WKJC
2025-02-22,1,CYOY2T8YYNC3WKJC
2024-10-29,1,0FPXYHO3SJOQHXV3
2024-11-09,1,0FPXYHO3SJOQHXV3
2024-11-16,1,0FPXYHO3SJOQHXV3
2025-04-10,1,0FPXYHO3SJOQHXV3
2025-07-02,1,0FPXYHO3SJOQHXV3
2023-03-16,0,21Y3C52SFDLARB1W
2023-04-20,1,21Y3C52SFDLARB1W
2023-04-27,1,21Y3C52SFDLARB1W
2023-08-07,1,21Y3C52SFDLARB1W
2023-10-09,1,21Y3C52SFDLARB1W
2023-10-18,1,21Y3C52SFDLARB1W
2023-12-31,1,21Y3C52SFDLARB1W
2024-01-05,1,21Y3C52SFDLARB1W
2024-01-15,1,21Y3C52SFDLARB1W
2024-01-21,1,21Y3C52SFDLARB1W
2024-12-02,1,EXRQJ976AS732KT8
2025-03-06,1,EXRQJ976AS732KT8
2025-08-19,0,EXRQJ976AS732KT8
2023-06-11,1,2TF4WX9JNOFBAHVK
2023-10-07,1,2TF4WX9JNOFBAHVK
2023-10-28,0,2TF4WX9JNOFBAHVK
2023-11-10,0,2TF4WX9JNOFBAHVK
2024-04-06,1,2TF4WX9JNOFBAHVK
2024-04-17,1,2TF4WX9JNOFBAHVK
2024-06-01,1,2TF4WX9JNOFBAHVK
2024-06-07,1,2TF4WX9JNOFBAHVK
2024-06-08,1,2TF4WX9JNOFBAHVK
2024-08-10,1,2TF4WX9JNOFBAHVK
2024-08-17,1,2TF4WX9JNOFBAHVK
2022-07-01,1,CFI42K9K7O8XA50K
2022-07-04,1,CFI42K9K7O8XA50K
2022-08-04,1,CFI42K9K7O8XA50K
2022-09-03,1,CFI42K9K7O8XA50K
2022-09-12,1,CFI42K9K7O8XA50K
2022-11-10,1,CFI42K9K7O8XA50K
2023-02-16,1,CFI42K9K7O8XA50K
2023-03-06,1,CFI42K9K7O8XA50K
2023-03-26,1,CFI42K9K7O8XA50K
2023-05-04,1,CFI42K9K7O8XA50K
2023-05-26,1,CFI42K9K7O8XA50K
2024-04-03,1,SYB037SD5RAJDOUN
2024-04-23,1,SYB037SD5RAJDOUN
2024-07-13,1,SYB037SD5RAJDOUN
2024-08-23,1,SYB037SD5RAJDOUN
2024-11-08,1,SYB037SD5RAJDOUN
2024-11-11,1,SYB037SD5RAJDOUN
2024-11-21,1,SYB037SD5RAJDOUN
2024-12-31,1,SYB037SD5RAJDOUN
2025-02-05,1,SYB037SD5RAJDOUN
2025-03-14,0,SYB037SD5RAJDOUN
2025-05-08,1,SYB037SD5RAJDOUN
2025-05-29,1,SYB037SD5RAJDOUN
2025-08-31,0,SYB037SD5RAJDOUN
2024-12-14,1,P48O03FKGKN5QQZT
2025-02-21,1,P48O03FKGKN5QQZT
2025-03-29,1,P48O03FKGKN5QQZT
2025-04-06,1,P48O03FKGKN5QQZT
2025-04-30,1,P48O03FKGKN5QQZT
2025-07-04,0,P48O03FKGKN5QQZT
2025-07-14,1,P48O03FKGKN5QQZT
2025-07-22,1,P48O03FKGKN5QQZT
2023-08-11,0,0XFEALDI9ZKQ7X1L
2023-09-23,1,0XFEALDI9ZKQ7X1L
2023-12-25,1,0XFEALDI9ZKQ7X1L
2025-03-06,1,0XFEALDI9ZKQ7X1L
2025-01-30,1,SU146O998OSAABVK
2025-03-07,1,SU146O998OSAABVK
2025-06-17,0,SU146O998OSAABVK
2025-07-11,1,SU146O998OSAABVK
2022-08-19,1,EMD2UIIW18Q36KOE
2022-08-21,1,EMD2UIIW18Q36KOE
2022-09-23,1,EMD2UIIW18Q36KOE
2022-12-29,0,EMD2UIIW18Q36KOE
2023-03-22,1,EMD2UIIW18Q36KOE
2024-09-20,1,VFMTZFJFR9I5BQPF
2025-01-10,1,VFMTZFJFR9I5BQPF
2023-12-12,1,2MEAQ227KDJBRH1W
2024-01-13,1,2MEAQ227KDJBRH1W
2024-03-13,0,2MEAQ227KDJBRH1W
2024-11-10,1,2MEAQ227KDJBRH1W
2025-03-24,0,2MEAQ227KDJBRH1W
2022-09-24,1,GUP5P3KKC3N55Q24
2022-10-08,1,GUP5P3KKC3N55Q24
2022-11-03,0,GUP5P3KKC3N55Q24
2023-04-04,1,GUP5P3KKC3N55Q24
2024-09-12,1,CXOO9NSWHRXFD34N
2024-10-24,0,CXOO9NSWHRXFD34N
2024-12-28,1,CXOO9NSWHRXFD34N
2025-03-20,1,CXOO9NSWHRXFD34N
2025-05-12,1,CXOO9NSWHRXFD34N
2023-01-07,1,24LALJ9OIORHAAVK
2023-02-06,0,24LALJ9OIORHAAVK
2023-06-08,1,24LALJ9OIORHAAVK
2023-06-18,1,24LALJ9OIORHAAVK
2023-08-03,1,24LALJ9OIORHAAVK
2023-09-17,0,24LALJ9OIORHAAVK
2022-02-14,0,PYYQYL6N4WK5NQHP
2022-08-11,0,PYYQYL6N4WK5NQHP
2022-09-15,1,PYYQYL6N4WK5NQHP
2022-09-27,1,PYYQYL6N4WK5NQHP
2023-02-11,1,PYYQYL6N4WK5NQHP
2023-05-06,1,PYYQYL6N4WK5NQHP
2023-05-19,0,PYYQYL6N4WK5NQHP
2023-12-30,1,PYYQYL6N4WK5NQHP
2022-05-26,0,GF3HK3O3XJNQHXV3
2022-10-16,1,GF3HK3O3XJNQHXV3
2022-12-06,0,GF3HK3O3XJNQHXV3
2023-03-08,1,GF3HK3O3XJNQHXV3
2022-07-19,1,S1SO7RS2DRBOD9UN
2022-10-16,1,S1SO7RS2DRBOD9UN
2022-12-20,1,S1SO7RS2DRBOD9UN
2025-05-29,1,VTKXF33K5FN5XQDU
2025-06-22,0,VTKXF33K5FN5XQDU
2025-07-29,0,VTKXF33K5FN5XQDU
2025-08-23,1,VTKXF33K5FN5XQDU
2022-05-25,0,VX6BL6Z8N235SQM6
2022-06-11,1,VX6BL6Z8N235SQM6
2022-06-20,0,VX6BL6Z8N235SQM6
2022-07-06,1,VX6BL6Z8N235SQM6
2022-05-18,1,STCKO98JBO7BAHVK
2022-06-24,1,STCKO98JBO7BAHVK
2022-07-20,1,STCKO98JBO7BAHVK
2023-06-06,1,STCKO98JBO7BAHVK
